TID,VI
TID_DECO_EVENT_VOTING_GO_TO_SHOP,Mở Cửa hàng Lễ hội thiết kế
TID_DECO_EVENT_SUBMIT_AND_WAIT_TEXT,Tốt lắm! Giai đoạn bình chọn sẽ sớm bắt đầu. Đừng quên nhận phần thưởng của bạn từ những Nhiệm vụ đã hoàn thành.
TID_ANIMAL_ACCESSORY_HAT_BAT_HEADBAND,Băng đô hình dơi
TID_ANIMAL_ACCESSORY_HAT_PILGRIM,Mũ hành hương
TID_ANIMAL_ACCESSORY_HAT_SNOWFLAKE_HEADBAND,Băng đô hình bông tuyết
TID_ANIMAL_ACCESSORY_HAT_PARADE,Mũ diễu hành
TID_MYSTERY_BOX_DESCRIPTION_ADS,Chiếc Hộp bí ẩn mà bạn tìm thấy đã bị khóa! Bạn có thể mở hộp bằng cách xem một quảng cáo.
TID_MYSTERY_BOX_DESCRIPTION_DIAMONDS_ADS,Chiếc Hộp bí ẩn mà bạn tìm thấy đã bị khóa! Bạn có thể mở hộp bằng cách dùng Kim cương hoặc xem một quảng cáo.
TID_MYSTERY_CRATE_DESCRIPTION_ADS,Hộp kho báu mà bạn tìm thấy đã bị khóa! Bạn có thể mở hộp bằng cách xem một quảng cáo.
TID_MYSTERY_CRATE_DESCRIPTION_DIAMONDS_ADS,Hộp kho báu mà bạn tìm thấy đã bị khóa! Bạn có thể mở hộp bằng cách dùng Kim cương hoặc xem một quảng cáo.
TID_EVERGREEN_STARTER_OFFER,Ưu đãi khởi động
TID_EDIT_MODE_ERASER_UNDO_BUTTON_DISABLED_FLOATER,Không có thay đổi nào để hoàn tác.
TID_EDIT_MODE_ERASER_UNDO_BUTTON_TUTORIAL_TEXT,Bạn có thể hoàn tác các thay đổi bằng cách sử dụng Nút hoàn tác.
TID_OSTRICHCHICK1,Đà điểu con màu xám
TID_OSTRICHCHICK2,Đà điểu con màu nâu
TID_DECO_EUPHORBIA_TRIGONA,Xương rồng sữa châu Phi
TID_DECO_SICKLEBUSH,Cây sicklebush
TID_DECO_GIFTPILE_SANTA,Đống quà hình Ông già Noel
TID_ANDROID_NOTIFICATION_CHANNEL_DECO_EVENT,Lễ hội thiết kế
TID_NOTIFICATIONS_SETTINGS_HEADLINE_DECO_EVENT,Thông báo về Lễ hội thiết kế
TID_NOTIFICATIONS_SETTINGS_DECO_EVENT_LIKES,Thông báo về việc nhận được lượt thích
TID_DECO_EVENT_NEW_LIKE_NOTIFICATION_MESSAGE,<LIKE_SENDER> và <OTHER_COUNT> người nông dân khác đã thích Thiết kế của bạn!
TID_DECO_EVENT_NEW_LIKE_NOTIFICATION_MESSAGE_ONE_LIKE,<LIKE_SENDER> đã thích Thiết kế của bạn!
TID_DECO_EVENT_NEW_LIKE_NOTIFICATION_MESSAGE_NO_SENDER_NAME,Có <COUNT> người nông dân thích Thiết kế của bạn!
TID_EDIT_MODE_OBJECT_CONSTRUCTION_STARTS_WHEN_LAYOUT_SAVED_AND_ACTIVE,Quá trình xây dựng bắt đầu khi bạn lưu và kích hoạt sơ đồ này.
TID_EDIT_MODE_OBJECT_GROWTH_STARTS_WHEN_LAYOUT_SAVED_AND_ACTIVE,Quá trình phát triển bắt đầu khi bạn lưu và kích hoạt sơ đồ này.
TID_NOTIFICATIONS_SETTINGS_DECO_EVENT_VOTES_AVAILABLE,Thông báo về việc có thể bình chọn
TID_DECO_EVENT_VOTES_AVAILABLE_NOTIFICATION_MESSAGE,Bạn có thể bình chọn lần nữa! Chọn những Thiết kế mà bạn yêu thích ngay nào.
TID_CARVED_MUSHROOM_FENCE,Hàng rào nấm chạm khắc
TID_DECO_AUTUMN_SOUP,Súp mùa thu
TID_DECO_AUTUMN_POND,Ao nước mùa thu
TID_DECO_CHALLENGE_DECORATION,Đồ trang trí
TID_DECO_CHALLENGE_PLACE_DECO,Đặt <NUM> <DECO>.
TID_DECO_CHALLENGE_REMOVE_OBST,Xóa bỏ <NUM> chướng ngại vật.
TID_DECO_CHALLENGE_MOVE_DECO,Di chuyển <NUM> <DECO>.
TID_DECO_CHALLENGE_SUBMIT,Gửi Thiết kế của bạn.
TID_DECO_CHALLENGE_SEND_VOTE,Thích <NUM> Thiết kế.
TID_DECO_CHALLENGE_GET_VOTE,Nhận được <NUM> lượt thích.
TID_DECO_CHALLENGE_PLACE_FENCE,Đặt <NUM> <DECO>.
TID_DECO_CHALLENGE_PLACE_PATH,Đặt <NUM> <DECO>.
TID_DECO_CHALLENGE_PLACE_FENCE_OR_PATH,Đặt <NUM> <DECO>.
TID_NATIVE_DIALOG_CHRONOS_CONTENT_DOWNLOAD_FAILED_TITLE,Không thể tải về nội dung
TID_NATIVE_DIALOG_CHRONOS_CONTENT_DOWNLOAD_FAILED_TEXT,Không thể tải về nội dung mới của trò chơi. Hãy kiểm tra xem bạn có đủ dung lượng trống trên thiết bị này không và thử lại.
TID_NATIVE_DIALOG_CHRONOS_CONTENT_DOWNLOAD_FAILED_BUTTON,Thử lại
TID_DECO_EVENT_MAIN_CHALLENGE_DESC,Cần thực hiện để gửi Thiết kế.
TID_NO_REAL_NAME,Vui lòng không dùng tên thật của bạn.
TID_DECO_EVENT_INTRO_STEP1_CONFIRM_BUTTON,Tất nhiên!
TID_DECO_EVENT_INTRO_STEP1_GREETING_HEADER_NAME,Xin chào <NAME>!
TID_DECO_EVENT_INTRO_STEP1_GREETING_HEADER_NONAME,Xin chào!
TID_DECO_EVENT_INTRO_STEP1_GREETING_BODY,"Tôi là Baptiste, một nhiếp ảnh gia tài năng. Tôi muốn chụp ảnh những nông trại tuyệt vời nhất. Bạn có thể giúp tôi bổ sung các bức ảnh thật đặc biệt vào bộ sưu tập của mình không?"
TID_DECO_EVENT_INTRO_STEP2_CONFIRM_BUTTON,Được thôi!
TID_DECO_EVENT_INTRO_STEP2_GREETING_HEADER,<THEME NAME CHRONOS>
TID_DECO_EVENT_INTRO_STEP2_GREETING_BODY,Hãy bám sát chủ đề để đạt được kết quả tốt nhất. Mẹo nhỏ: khu vực bí ẩn này là nơi bạn có thể tạo ra kiệt tác của mình!
TID_DECO_EVENT_INTRO_STEP3_CONFIRM_BUTTON,Cảm ơn!
TID_DECO_EVENT_INTRO_STEP3_GREETING_BODY,Bạn sẽ có thời gian để chuẩn bị trước khi bắt đầu thiết kế. Chúc may mắn!
TID_DECO_EVENT_INTRO_STEP4_CONFIRM_BUTTON,Làm sao để tham gia?
TID_DECO_EVENT_INTRO_STEP4_GREETING_HEADER,Bắt đầu thiết kế ngay nào!
TID_DECO_EVENT_INTRO_STEP4_GREETING_BODY,Chuẩn bị sẵn sàng và bắt đầu nào! Hãy tạo ra những thiết kế thật tuyệt vời. Hoàn thành các nhiệm vụ để có nhiều người chơi nhìn thấy thiết kế của bạn hơn.
TID_DECO_EVENT_INTRO_STEP5_CONFIRM_BUTTON,Làm sao để bình chọn?
TID_DECO_EVENT_INTRO_STEP5_GREETING_HEADER,Thời gian bình chọn đã bắt đầu!
TID_DECO_EVENT_INTRO_STEP5_GREETING_BODY,Tuyệt vời! Hãy bình chọn ngay nào! Bạn bình chọn càng nhiều thì càng có nhiều người chơi nhìn thấy thiết kế của bạn và có thể họ sẽ nhấn thích!
TID_DECO_EVENT_INTRO_STEP6_CONFIRM_BUTTON,Mở Cửa hàng Lễ hội thiết kế
TID_DECO_EVENT_INTRO_STEP6_HEADER,Giai đoạn bình chọn đã kết thúc.
TID_DECO_EVENT_INTRO_STEP6_GREETING_HEADER_NONAME,Tốt lắm!
TID_DECO_EVENT_INTRO_STEP6_GREETING_HEADER_NAME,"Làm tốt lắm, <NAME>!"
TID_DECO_EVENT_INTRO_STEP6_LIKES_SENT,Bạn đã thích <COUNT> Thiết kế.
TID_DECO_EVENT_INTRO_STEP6_LIKES_RECEIVED,Có <COUNT> người nông dân thích Thiết kế của bạn.
TID_DECO_EVENT_INTRO_STEP6_CURRENCY_RECEIVED,Bạn đã nhận được <COUNT> Cuộn phim.
TID_DECO_EVENT_DECORATION_PHASE_STARTED_NOTIFICATION_MESSAGE,Giai đoạn thiết kế đã bắt đầu!
TID_DECO_EVENT_VOTING_PHASE_STARTED_NOTIFICATION_MESSAGE,Giai đoạn bình chọn đã bắt đầu! Hãy bình chọn cho Thiết kế mà bạn yêu thích.
TID_DECO_EVENT_REWARDING_PHASE_STARTED_NOTIFICATION_MESSAGE,Giai đoạn bình chọn đã kết thúc. Hãy sử dụng số Cuộn phim của bạn trong Cửa hàng!
TID_DECO_EVENT_FEATURED_GROUP_1_NOTIFICATION_MESSAGE,Thiết kế của bạn rất ấn tượng!
TID_DECO_EVENT_FEATURED_GROUP_2_NOTIFICATION_MESSAGE,Thiết kế của bạn rất đẹp!
TID_DECO_EVENT_FEATURED_GROUP_3_NOTIFICATION_MESSAGE,Thiết kế của bạn là đẹp nhất!
TID_DECO_EVENT_SUBMISSION_DEADLINE_NOTIFICATION_MESSAGE_HOURS_MINUTES,Bạn còn <HOURS> giờ và <MINUTES> phút để gửi Thiết kế của mình!
TID_DECO_EVENT_SUBMISSION_DEADLINE_NOTIFICATION_MESSAGE_HOURS,Bạn còn <HOURS> giờ để gửi Thiết kế của mình!
TID_DECO_EVENT_SUBMISSION_DEADLINE_NOTIFICATION_MESSAGE_MINUTES,Bạn còn <MINUTES> phút để gửi Thiết kế của mình!
TID_DECO_EVENT_SUBMISSION_CELEBRATION,Làm tốt lắm! Tôi phải đóng cửa khu vực này để chuẩn bị cho Lễ hội tiếp theo. Hãy quay về nông trại của bạn nào.
TID_DECO_EVENT_INFO_TITLE_PAGE1,Các giai đoạn của sự kiện
TID_DECO_EVENT_INFO_SUBTEXT_PAGE1,Sự kiện có 3 giai đoạn.
TID_DECO_EVENT_INFO_PAGE1_BOX1,Hãy làm quen với khu vực mới và bắt đầu khám phá kho chứa đồ trang trí của bạn.
TID_DECO_EVENT_INFO_PAGE1_BOX2,"Thể hiện sự sáng tạo, hoàn thành nhiệm vụ, gửi Thiết kế của bạn và thu thập Cuộn phim."
TID_DECO_EVENT_INFO_PAGE1_BOX3,Bình chọn cho Thiết kế của những người nông dân khác và nhận về các lượt thích.
TID_DECO_EVENT_INFO_PAGE1_BOX4,Hãy sử dụng Cuộn phim trong Cửa hàng Lễ hội thiết kế để có được các vật phẩm độc quyền. Bạn có thể lưu trữ và sử dụng chúng bất cứ lúc nào!
TID_DECO_EVENT_INFO_TITLE_PAGE2,Giai đoạn chuẩn bị
TID_DECO_EVENT_INFO_SUBTEXT_PAGE2,Hãy khám phá khu vực này và chuẩn bị sẵn sàng để thiết kế!
TID_DECO_EVENT_INFO_PAGE2_BOX1,Dọn sạch chướng ngại vật trong khu vực. Hoặc là giữ lại chúng?
TID_DECO_EVENT_INFO_PAGE2_BOX2,Hãy xem qua chủ đề và bắt đầu lên ý tưởng.
TID_DECO_EVENT_INFO_PAGE2_BOX3,Xem qua bộ sưu tập đồ trang trí của bạn để tìm cảm hứng.
TID_DECO_EVENT_INFO_PAGE2_BOX4,Hãy đến Cửa hàng trong trò chơi để kiểm tra các ưu đãi đồ trang trí mới.
TID_DECO_EVENT_INFO_TITLE_PAGE3,Giai đoạn thiết kế
TID_DECO_EVENT_INFO_SUBTEXT_PAGE3,Thỏa sức sáng tạo và hoàn thành các Nhiệm vụ.
TID_DECO_EVENT_INFO_PAGE3_BOX1,Bạn có thể bắt đầu đặt đồ trang trí vào khu vực được giao.
TID_DECO_EVENT_INFO_PAGE3_BOX2,Thiết kế khu vực dựa theo những món đồ trang trí đã được đặt sẵn.
TID_DECO_EVENT_INFO_PAGE3_BOX3,Bạn thực hiện càng nhiều nhiệm vụ thì càng có nhiều người chơi nhìn thấy thiết kế của bạn! Gửi thiết kế để nhận được các Cuộn phim và sau đó đổi những Cuộn phim này để lấy phần thưởng.
TID_DECO_EVENT_INFO_PAGE3_BOX4,Gửi thiết kế đúng hạn! Đến thẻ Thiết kế của bạn sau khi hoàn thành các Nhiệm vụ được yêu cầu để gửi Thiết kế của bạn.
TID_DECO_EVENT_INFO_TITLE_PAGE4,Giai đoạn bình chọn
TID_DECO_EVENT_INFO_SUBTEXT_PAGE4,Hãy bình chọn cho Thiết kế mà bạn yêu thích.
TID_DECO_EVENT_INFO_PAGE4_BOX1,Nhấn vào các Thiết kế mà bạn thích nhất. Bạn bình chọn càng nhiều thì càng có nhiều người chơi nhìn thấy Thiết kế của bạn!
TID_DECO_EVENT_INFO_PAGE4_BOX2,"Sau khi gửi, những người nông dân khác có thể bình chọn cho Thiết kế của bạn."
TID_DECO_EVENT_INFO_PAGE4_BOX3,Nhận Phần thưởng bổ sung để có nhiều Cuộn phim hơn và sử dụng chúng trong Cửa hàng Lễ hội thiết kế.
TID_DECO_EVENT_INFO_PAGE4_BOX4,Đến Đại sảnh Danh vọng để xem các thiết kế nổi bật ở đây. Có thể thiết kế của bạn cũng ở đó đấy!
TID_DECO_EVENT_INFO_TITLE_PAGE5,Cửa hàng Lễ hội thiết kế
TID_DECO_EVENT_INFO_SUBTEXT_PAGE5,Sử dụng các Cuộn phim và mua những vật phẩm độc quyền.
TID_DECO_EVENT_SUB_PREVIEW_HDR,Hãy sẵn sàng để thiết kế!
TID_DECO_EVENT_SUB_LASTCHANCE_HDR,Gửi thiết kế trong vòng <TIME>.
TID_DECO_EVENT_THEME_HDR,Chủ đề Lễ hội thiết kế
TID_DECO_EVENT_INFO_TITLE,Cách tham gia
TID_DECO_EVENT_INACTIVE_NOTE,"Hiện tại, Lễ hội thiết kế chưa bắt đầu. Hãy khám phá Album Thiết kế hoặc Cửa hàng Lễ hội thiết kế trong thời gian này. Và đừng quên ghé xem Album của những người nông dân khác để xem các Thiết kế tuyệt đẹp của họ nhé!"
TID_DECO_EVENT_INACTIVE_HEADER,Chuẩn bị để trang trí
TID_DECO_EVENT_INACTIVE_GOTO_ALBUM,Mở Album
TID_DECO_EVENT_INACTIVE_GOTO_SHOP,Đi đến Cửa hàng
TID_GIFT_BOX1_24,Hộp quà chấm bi
TID_GIFT_BOX2_24,Hộp quà heo con
TID_GIFT_BOX3_24,Hộp quà màu đỏ
TID_GIFT_BOX4_24,Túi quà
TID_DECO_EVENT_CHALLENGE_NEW,Mới
TID_DECO_EVENT_CHALLENGES_HEADER,Bảng nhiệm vụ thiết kế
TID_DECO_EVENT_CHALLENGES_CLAIM,Nhận phần thưởng sau khi gửi Thiết kế của bạn!
TID_DECO_EVENT_SHOP_NO_CURRENCY,Không có đủ Cuộn phim! Hãy hoàn thành Nhiệm vụ để kiếm thêm.
TID_DECO_EVENT_PURCHASE_CONFIRM_TITLE,Xác nhận trao đổi
TID_DECO_EVENT_PURCHASE_CONFIRM_DESC,<ITEM_NAME>
TID_DECO_EVENT_PURCHASE_CONFIRM_BTN,Nhận phần thưởng
TID_DECO_EVENT_SHOP_SOLD_OUT,Đã bán hết
TID_DECO_EVENT_SHOP_QUANTITY,<COUNT>/<MAX>
TID_DECO_CHALLENGE_PLACE_NATURE,Đặt <NUM> món Đồ trang trí thiên nhiên.
TID_DECO_CHALLENGE_PLACE_SANCTUARY,Đặt <NUM> món Đồ trang trí của khu bảo tồn.
TID_DECO_EVENT_CHALLENGES_REWARD,Hoàn thành Nhiệm vụ để mở khóa phần thưởng.
TID_DECO_EVENT_CHALLENGES_HEADER_SUBMISSION,Nhiệm vụ bổ sung
TID_DECO_EVENT_CHALLENGES_HEADER_BONUS,Phần thưởng thêm
TID_DECO_EVENT_EMPTY_PHOTO,Các Thiết kế sẽ sớm xuất hiện!
TID_DECO_EVENT_VOTING_HEADER,Chọn các Thiết kế mà bạn yêu thích!
TID_DECO_EVENT_SHOP_ITEM_TIMER,Biến mất sau: <TIME>
TID_DECO_EVENT_SHOP_ITEM_TIMER_EXPIRED,Đã hết hạn!
TID_DECO_EVENT_CONFIRM_REPORT_DESIGN_TEXT,"Chỉ báo cáo những Thiết kế mà bạn cho là không phù hợp hoặc có tính xúc phạm. Nếu lạm dụng nút báo cáo, tài khoản của bạn sẽ bị phạt."
TID_DECO_EVENT_CONFIRM_REPORT_DESIGN_TITLE,Báo cáo Thiết kế
TID_DECO_EVENT_CONFIRM_REPORT_DESIGN_CONFIRM,Xác nhận
TID_DECO_EVENT_CONFIRM_REPORT_DESIGN_CANCEL,Hủy
TID_DECO_EVENT_SUBMIT_CONFIRM_TITLE,Xác nhận gửi
TID_DECO_EVENT_SUBMIT_CONFIRM_DESC,Bạn có chắc muốn gửi Thiết kế của mình không?
TID_DECO_EVENT_SUBMIT_CONFIRM_ACCESS_LOSS,"Lưu ý: sau khi gửi, bạn sẽ không thể vào khu vực thiết kế cũng như không thể thực hiện bất kỳ thay đổi nào."
TID_DECO_EVENT_SKIP_CONFIRM_TITLE,Bỏ qua việc gửi?
TID_DECO_EVENT_SKIP_CONFIRM_DESC,"Bạn có chắc muốn bỏ qua việc gửi Thiết kế của mình không? Đây là cơ hội cuối cùng để gửi. Nếu bỏ qua, Thiết kế của bạn sẽ bị mất."
TID_DECO_EVENT_SUBMIT_CONFIRM_TASKS,Bạn vẫn có thể hoàn thành Nhiệm vụ bổ sung để thu thập thêm Cuộn phim. Một số Nhiệm vụ sẽ không khả dụng sau khi gửi thiết kế.
TID_DECO_EVENT_SUBMIT_CANCEL_BTN,Hủy
TID_DECO_EVENT_SUBMIT_CONFIRM_BTN,Gửi
TID_DECO_EVENT_BUTTON_TIMER,<TIME>
TID_DECO_EVENT_BUTTON_PHASE,<PHASE>
TID_DECO_EVENT_VOTE_DIAMONDS_OWNED,Bạn có:
TID_DECO_EVENT_WIDGET_PREPARATION,Chuẩn bị
TID_DECO_EVENT_WIDGET_DESIGN,Thiết kế
TID_DECO_EVENT_WIDGET_VOTE,Bình chọn
TID_DECO_EVENT_WIDGET_REWARDS,Phần thưởng
TID_DECO_EVENT_PENDING_REELS,Bạn đã kiếm được số Cuộn phim này! Hãy gửi thiết kế của bạn để bắt đầu nhận các Cuộn phim.
TID_DECO_EVENT_BEFORE_SUBMIT_INFO,Hãy gửi thiết kế đúng hạn! Bạn vẫn có thể gửi sau khi giai đoạn bình chọn bắt đầu nhưng số người chơi nhìn thấy thiết kế của bạn sẽ ít hơn.
TID_DECO_EVENT_BEFORE_SUBMIT_RESUBMIT_INFO,Hãy gửi thiết kế đúng hạn! Bạn vẫn có thể gửi sau khi giai đoạn bình chọn bắt đầu nhưng số người chơi nhìn thấy thiết kế của bạn sẽ ít hơn.
TID_DECO_EVENT_AFTER_SUBMIT_RESUBMIT_INFO,Thực hiện thay đổi cho thiết kế của bạn để gửi lại. Thiết kế này sẽ thay thế cho thiết kế mà bạn đã gửi trước đó.
TID_WHEEL_OF_FORTUNE_ADS_MORE_SPINS,Xem để quay
TID_PERFUMERIE,Xưởng điều chế nước hoa
TID_PERFUMERIE_DESCRIPTION,Sản xuất nước hoa và hương liệu.
TID_PRODUCT_FRESH_DIFFUSER,Lọ khuếch tán hương tươi mát
TID_PRODUCT_ZESTY_PERFUME,Nước hoa hương ngọt ngào
TID_PERFUMERIE_PRODUCT_DESCRIPTION,Sản xuất tại Xưởng điều chế nước hoa.
TID_DECO_EVENT_SUBMITTED_TAP,Nhấn để tiếp tục
TID_DECO_EVENT_MILESTONE_FIRST_LIKE,❤️Lượt thích đầu tiên! Thiết kế của bạn đang được chú ý đến!
TID_DECO_EVENT_MILESTONE_LIKES,❤️<COUNT> lượt thích! Thiết kế của bạn rất được yêu thích!
TID_SWAN1,Thiên nga đen
TID_SWAN2,Thiên nga cổ đen
TID_SWAN3,Thiên nga lớn
TID_SWAN_DESCRIPTION,Cho ăn để thu thập điểm.
TID_DECO_EVENT_DESIGN_COMING,Tính năng Xem trước thiết kế sẽ xuất hiện ở đây trong Giai đoạn thiết kế.
TID_DECO_SUBMIT_SUBMIT_MISSED,Đã bỏ lỡ việc gửi thiết kế.
TID_DECO_DANCE_FLOOR,Sàn nhảy
TID_DECO_SNOWMAN_BALLOON,Bong bóng hình người tuyết
TID_DECO_WINTER_PHOTO_OP,Phông nền chụp ảnh mùa đông
TID_DECO_RESCUE_PATROL,Đội tuần tra cứu hộ
TID_DECO_WINTER_CENTERPIECE,Vòng xoay mùa đông
TID_DECO_REINDEER_RIDE,Xe kéo tuần lộc
TID_DECO_WINTER_GATE,Cổng mùa đông
TID_DECO_WINTER_LOG_PATH,Đường làm từ thân cây mùa đông
TID_DECO_PUPPY_YOGA,Tập yoga cùng cún con
TID_DECO_BUBBLE_BATH,Bồn tắm sủi khí
TID_DECO_SOUND_BATH,Tắm trong âm thanh
TID_DECO_CALMING_CAIRNS,Tháp đá yên bình
TID_DECO_GENTLE_FIRE,Ánh lửa dịu dàng
TID_DECO_CHOCOLATE_FRENZY,Bữa tiệc sô cô la
TID_DECO_FRUIT_FRENZY,Cơn sốt hoa quả
TID_DECO_BOUQUET_HAT,Chiếc mũ đính đầy hoa
TID_DECO_CORAL_REEF,Rạn san hô
TID_DECO_HEARTWARMING_GIFT,Món quà ấm áp
TID_DECO_TEA_PARTY,Tiệc trà
TID_DECO_MODE_PREPLACED_OBJECT_FLOATER,Đồ trang trí này được đặt cố định ở đây và bạn không thể di chuyển nó.
TID_DECO_CHALLENGE_FENCE,Hàng rào
TID_DECO_CHALLENGE_PATH,Lối đi
TID_DECO_CHALLENGE_FENCE_OR_PATH,Hàng rào hoặc Lối đi
TID_CUSTOMIZATION_WINTER_2024,Mùa đông 2024
TID_DECO_APRES_SKI,Nghỉ ngơi sau khi trượt tuyết
TID_DECO_WAXING_STATION,Bảo trì thiết bị trượt tuyết
TID_DECO_GARDEN_HELPERS,Những người làm vườn
TID_DECO_BUSY_BEES,Những chú ong bận rộn
TID_DECO_REACHING_HEIGHTS,Đỉnh Alpine
TID_DECO_FEEDING_BIRDS,Cho chim ăn
TID_DECO_OCCUPIED_CHIMNEY,Tổ chim trên ống khói
TID_DECO_STONE_LEMURS,Vượn cáo bằng đá
TID_DECO_CHEESY_VENDOR,Người bán phô mai
TID_DECO_HOT_FONDUE,Nồi lẩu nhúng ấm áp
TID_DECO_BALCONY_SERENADE,Hát tình ca bên ban công
TID_DECO_HEARTWARMING_FOUNTAIN,Đài phun nước trái tim
TID_DECO_HEART_BALLOON,Bong bóng hình trái tim
TID_DECO_CUPIDS_CANON,Đại bác của thần Cupid
TID_DECO_HEARTWARMING_FENCE,Hàng rào trái tim đáng yêu
TID_DECO_HEART_CONFETTI,Hoa giấy hình trái tim
TID_DECO_CHICKEN_GALLEY,Gà chèo thuyền
TID_DECO_LOVELY_BUBBLES,Bong bóng xà phòng đáng yêu
TID_DECO_BUTTERFLY_HEADBAND,Băng đô hình bướm
TID_DECO_HIDDEN_GARDEN,Khu vườn ẩn giấu
TID_TUTORIAL_NEWCHAR_1,May là bạn đến kịp lúc. Tôi đang chuẩn bị đi câu cá vài ngày đây.
TID_TUTORIAL_NEWCHAR_2,Người bạn này đã đồng ý chăm sóc nông trại của tôi trong khi tôi đi vắng.
TID_TUTORIAL_NEWCHAR_3,Xin chào! Tôi là Gordon Ramsay. Tôi cảm thấy cuộc sống ở nông trại rất bình yên. Quả là một sự thay đổi thú vị.
TID_TUTORIAL_NEWCHAR_4,"Cuộc sống nơi đây đòi hỏi sự kiên nhẫn. Cây trồng cần có thời gian phát triển, mỗi loài động vật đều có nhịp sống riêng... Thật sự rất bình yên. Tôi cảm thấy rất thoải mái."
TID_TUTORIAL_NEWCHAR_5,Ừ thì... bình yên. Chỉ cần đừng lớn tiếng với lũ gà thì mọi chuyện sẽ ổn thôi. Tôi đi đây!
TID_TUTORIAL_GREG_GIFT_BOXES_1,"Cứ ghé thăm tùy thích nhé. Trong 7 ngày tiếp theo, mỗi ngày tôi đều giấu một món quà bất ngờ dành cho bạn. Hãy thử xem bạn có thể tìm thấy tất cả các món quà không nào!"
TID_DECO_RAINBOW_ARCH,Vòm cầu vồng
TID_DECO_HEART_TILE,Ô gạch trái tim
TID_DECO_FLAG_BEARER,Người cầm cờ
TID_DECO_GARDEN_CHESS,Bàn cờ trong vườn
TID_DECO_BEE_TOPIARY,Cây cảnh hình ong
TID_DECO_GARDEN_PAVILION,Nhà hóng mát sân vườn
TID_DECO_GARDEN_CART,Xe kéo làm vườn
TID_DECO_DECO_GARDEN_ROOSTER,Tượng gà trống sân vườn
TID_DECO_GARDEN_FENCE,Hàng rào quanh vườn
TID_DECO_LEPRECHAUN_BALLOON,Bong bóng hình yêu tinh Leprechaun
TID_DECO_CASCADING_POTS,Chậu phun nước nhiều tầng
TID_DECO_SHAMROCK_CHAIR,Ghế hình shamrock
TID_DECO_GOLD_BARREL,Thùng vàng
TID_DECO_LUCKY_WELL,Giếng may mắn
TID_DECO_EASTER_CARRIAGE,Xe ngựa hình quả trứng
TID_DECO_EASTER_BANQUET,Bàn tiệc mùa xuân
TID_DECO_EASTER_PARADE,Diễu hành mùa xuân
TID_DECO_EASTER_STAND,Quầy mùa xuân
TID_DECO_EASTER_PARADE_ARCH,Cổng vòm diễu hành mùa xuân
TID_DECO_PAW_PRINTS,Dấu chân động vật
TID_DECO_STURDY_YURT,Chiếc lều Mông Cổ vững chắc
TID_DECO_SERENE_TEMPLE,Ngôi đền thanh tịnh
TID_DECO_COLORFUL_HUT,Chiếc lều sặc sỡ
TID_DECO_PICKING_BERRIES,Hái quả mọng
TID_DECO_COLORFUL_TAPESTRY,Thảm thêu sặc sỡ
TID_DECO_SURPRISE_EGGS,Những quả trứng bất ngờ
TID_DECO_ICY_PIG,Chú heo băng
TID_DECO_EVENT_SHOP_FOOTER,Hãy nhớ nhận các Cuộn phim từ Bảng nhiệm vụ.
TID_DECO_EVENT_SHOP_FOOTER_EVENT_INACTIVE,Hãy chú ý theo dõi Lễ hội thiết kế tiếp theo để thu thập thêm Cuộn phim nhé!
TID_AGE_GATE_SCID_LOGIN,Bạn có Supercell ID không? <LOGIN>Hãy đăng nhập</LOGIN> để khôi phục tiến trình của mình.
TID_DECO_EVENT_TASK_CLAIM,Nhận
TID_CONFIRM_KEY_TO_DIAMOND_SPEND,Sử dụng Kim cương để hoàn tất giao dịch.
TID_FEATURE_DECO_EVENT,Lễ hội thiết kế
TID_DECO_EVENT_COMING_SOON,Lễ hội thiết kế sẽ mở khóa ở cấp <LEVEL>
TID_GACHA_KEY_STORAGE_FULL,Kho chứa Chìa khóa vàng đã đầy!
TID_COLORFUL_CRAFTS,Đồ thủ công đầy màu sắc
TID_ANIMAL_ACCESSORY_HAT_BUTTERFLY_HEADBAND,Băng đô hình bướm
TID_ANIMAL_ACCESSORY_HAT_FAUX_FUR,Mũ lông nhân tạo
TID_ANIMAL_ACCESSORY_HAT_BOUQUET,Mũ đính đầy hoa
TID_CROP_CHAMOMILE,Cúc La Mã
TID_PRODUCT_SOOTHING_PAD,Gối thư giãn
TID_PRODUCT_CALMING_DIFFUSER,Lọ khuếch tán hương thư giãn
TID_PRODUCT_CHAMOMILE_TEA,Trà hoa cúc La Mã
TID_PRODUCT_ESSENTIAL_OIL_CHAMOMILE,Tinh dầu cúc La Mã
TID_GACHA_CURRENCY_ENOUGH_NOTIFICATION_MESSAGE,Bạn đã có đủ Chìa khóa vàng để mở một Hộp bất ngờ! Hãy xem các ưu đãi ngay nào.
TID_GREG_FIRST_NAME,Greg
TID_GACHA_KEY_STORAGE_FULL_POP_UP_TEXT,Kho chứa Chìa khóa vàng của bạn đã đầy. Hãy sử dụng những chiếc chìa khóa này để mở các ưu đãi Hộp bất ngờ ngay nào.
TID_GACHA_KEY_STORAGE_FULL_GO_TO_STORE,Đi xem ưu đãi
TID_SPIN_WHEEL_READY_TO_SPIN,Đã sẵn sàng để quay
TID_DECO_MARBLE_DUCK_BATH,Bồn tắm đá cẩm thạch cho vịt
TID_DECO_MARBLE_FLOWERVASE,Bình hoa đá cẩm thạch
